Image,Offer,Unnamed: 2,Link,Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank MY Zone Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Flipkart Axis Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,IndianOil Axis Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,IndianOil RBL Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,IndianOil RBL Bank XTRA Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank iGlobe Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Movies and More Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank MoneyTap Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,Insignia Preferred Banking Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,BankBazaar SaveMax Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,Bankbazaar Savemax Pro Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,MoneyTap Black Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Paisabazaar Duet Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Paisabazaar Duet Card Plus
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank VCard
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,Mo Cash Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Play Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Cookie Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Icon Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Platinum Delight Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Platinum Maxima Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Lazy Pay Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank World Safari Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Monthly Treats Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,Platinum Maxima Plus Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/2aeac16b59409745e8240ebd929570e2.jpg,"Up to 35% OFF (up to Rs.6,000)",,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Shoprite Credit Card
