Serial Number,Credit Card Name,Credit Card Image,Hotel Benefit
26,Simplyclick Sbi Card,"https://static.wixstatic.com/media/f836e8_150b5ac8179a4e2fa56b34b949b3df68~mv2.webp/v1/fill/w_266,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/SimplyClick%20SBI%20Card.webp",Reward System: Users will get 10 points on spending every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra
27,Indusind Intermiles Odyssey Visa Credit Card,"https://static.wixstatic.com/media/257766_4e48da28b5414644a063f107de2f80d3~mv2.jpg/v1/fill/w_554,h_351,al_c,lg_1,q_80,enc_avif,quality_auto/intermiles-odyssey-visa-credit-card.jpg",Hotel discount voucher worth INR 2500 on booking hotels
28,Indusind Celesta American Express Credit Card,"https://static.wixstatic.com/media/257766_dfbdab64de6a46b89ed1cdb923a00bb1~mv2.jpg/v1/fill/w_554,h_351,al_c,lg_1,q_80,enc_avif,quality_auto/celesta-credit-card.jpg","Users will get discounts at leading restaurants, hotel properties, retail outlets and more whether you are in India or abroad (the restaurants and hotel offers are dynamic in nature and keep changing)"
29,Au Small Finance Bank Ixigo Credit Card,"https://static.wixstatic.com/media/f836e8_5aed859a4f92417aba2cdb619de131ca~mv2.webp/v1/fill/w_266,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/AU%20Bank%20Ixigo%20CC.webp","1,000 worth of Ixigo money vouchers on making their first transaction within the first 30 days of card issuance; Reward Points:  Users will earn 20 reward points for every ?200 spent on Train bookings with ixigo"
30,6E Rewards - Indigo Hdfc Bank Credit Card,"https://static.wixstatic.com/media/2a565f_b7189aaff2cc416e871b50a6514b7bc9~mv2.webp/v1/fill/w_370,h_234,al_c,lg_1,q_80,enc_avif,quality_auto/Indigo-6ERewards.webp",Accor hotel vouchers worth Rs
31,Indusind Eazydiner Credit Card,"https://static.wixstatic.com/media/2a565f_cee9b198096f441e95ef2459e410ec02~mv2.webp/v1/fill/w_395,h_251,al_c,lg_1,q_80,enc_avif,quality_auto/Ind.webp","PostCard hotel voucher worth INR 5,000"
32,Karnataka Bank Sbi Card Prime,"https://static.wixstatic.com/media/2a565f_174b7bc8b4454198865da255b852ea0e~mv2.webp/v1/fill/w_87,h_55,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/karnataka-bank-card-face.webp","Welcome Benefit : Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
33,City Union Bank Sbi Card Prime,"https://static.wixstatic.com/media/f836e8_81e6e605a4f8468fa2bec9a45020c79e~mv2.webp/v1/fill/w_266,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/City%20Union%20Bank%20SBI%20Card%20Prime.webp","Welcome Benefit : Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
34,Sbi Card Elite,"https://static.wixstatic.com/media/f836e8_bbc6260e32164f14b72e74fe3cf2756b~mv2.webp/v1/fill/w_266,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/SBI%20Card%20Elite.webp","5,000 which can be redeemed for various brands like Yatra, Hush Puppies/Bata, Pantaloons,&nbsp;Aditya Birla Fashion, and Shoppers Stop"
35,Pnb Emt Rupay Platinum Credit Card,"https://static.wixstatic.com/media/45c85e_540ad1c606e54027873cd81f669732c2~mv2.png/v1/fill/w_75,h_114,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-11-13%20144116.png","5,000 on domestic hotel bookings; 10,000 on international hotel bookings"
